AnimalID	SampleID	Age	Strain	Organ	Il1b	Tgfb1	Il1a	Il6	Il10	Ccl5	Hmgb1	Tnf	Cxcr3	Th	Dbh	Adrb2	Adrb1	Adra1a	Adra1b	Cacna1d	Gja1	Ace	Agt	Agtr1	Ren	Agtrap
8S-2	8S-LI-2	8	SHR	Liver	-2.283630775	-0.925453445	0	0.685232798	-0.312755443	-3.2092596	-0.874013758	-1.458781235	-5.009047213	7.235435715	3.308664493	-0.337123215	-0.790372985	0.062880655	0.285457273	0	2.843307686	-0.373300783	2.048608902	-2.94393732	4.229078125	-2.894332845
8S-3	8S-LI-3	8	SHR	Liver	-1.071931605	-0.933926115	-4.071658692	-1.362198295	2.11682344	-0.049271039	-1.959713939	-0.521511636	2.272991058	1.098083778	0.298636963	-4.104109335	-0.256203817	-3.087776565	-7.572297228	-0.580236327	-2.778162943	-3.530302043	-2.119215743	-2.71909368	-1.461922698	-1.535648685
8W-1	8W-LI-1	8	WKY	Liver	1.72523721	2.05631918	-9.494223905	-2.639927808	0.535754073	0.562285025	1.113695957	0.7008153	0.119891493	0	-0.298636963	0.6502798	0	0.59454328	-0.270693113	0.824306495	0.633599243	0.408757793	-0.364194598	3.001838515	-0.522271553	1.92769597
8W-2	8W-LI-2	8	WKY	Liver	0.770221685	1.101546105	-1.294805314	-0.539245793	0.524895098	0	0.894193921	1.838378095	-0.119891493	-2.533884435	-2.396565488	0.682423075	3.919389435	-0.062880655	-0.220931208	0	-0.633599243	0.095632228	-0.288306123	3.30930561	0.153680123	1.535648685
8W-3	8W-LI-3	8	WKY	Liver	0	0.88066453	-0.946259772	0.220799437	-0.524895098	0.609212625	-0.057656084	0	1.027173373	-1.12873293	-1.764411613	0.04562593	2.6382056	-0.08880017	0.220931208	-1.094022055	-1.300758578	0.145535143	0.288306123	2.089621865	-0.153680123	1.98983597
8S-1	8S-LV-1	8	SHR	Ventricle	0.021059953	-0.41272825	1.258159235	-0.027326088	0.250233465	-0.420794615	0.365890161	0.080445618	0.4358811	0.09954849	0.235674243	0.35147038	-0.218336723	0.30344392	0.201374753	0.298197525	0.548309781	0.330788698	0.099177218	0.37745771	0.231578799	-0.106214023
8S-2	8S-LV-2	8	SHR	Ventricle	-1.382529428	0.75381332	-0.281101245	0.399465077	-3.609994575	-0.773721075	-0.543808243	-0.263912533	-3.64671374	0.12238629	-0.317752678	-0.56029806	0.406361218	-0.99772566	0.693207663	-0.335477145	0.056946123	-0.201378243	1.218797068	-1.05030819	-0.360106337	0.296732338
8S-3	8S-LV-3	8	SHR	Ventricle	-0.643579928	-0.35820676	0.621965385	0.024422017	-1.21156862	-0.030196841	-0.064359623	-2.240634033	-2.04797859	-0.09954849	-0.158121368	-0.34842694	1.876248898	-0.75622083	-0.218553498	-0.907414685	-0.131466778	-0.213608893	-0.099177218	-0.59502407	0.601204794	-0.509312123
8S-4	8S-LV-4	8	SHR	Ventricle	0.133866368	-0.632083475	0.93459236	-0.549293613	-0.30482205	0.35528544	-0.190988528	-0.333884548	-0.219454485	0.151309065	0.338406848	0.382689045	-0.302179778	0.522799145	-0.035745943	0.19009162	-0.056946123	-0.244433668	0.216306263	0.120079725	0.459681484	-0.502895498
8W-1	8W-LV-1	8	WKY	Ventricle	-1.140249003	-0.588911105	0.02036009	0.547359538	-1.37787055	0	0.064359623	-0.080445618	-1.285137135	-0.195575665	0.158121368	0.026354965	-1.125338098	0.479626775	-0.025233773	0.02129641	0.36465317	0.201378243	-0.265045334	-0.120079725	0.134031944	-0.542952878
8W-2	8W-LV-2	8	WKY	Ventricle	-0.021059953	0.403319245	-0.02036009	0.027326088	0	-1.07010524	-0.410724208	0.113446713	0.219454485	0.156599955	0.503673548	-0.026354965	0.218336723	-0.350463815	0.654000158	-0.02129641	0.121030818	1.265788883	0.65613196	-1.228384485	-0.134031944	0.106214023
8W-3	8W-LV-3	8	WKY	Ventricle	3.758606013	0.35820676	-1.874165785	-0.013929319	3.232791885	4.999043715	0.072213028	0.561264788	0.38275645	-8.67355363	-5.053721148	-0.260712	1.941007818	-0.20106107	0.025233773	0.707531205	-5.471434938	-0.498575903	-2.483307288	4.22609327	-4.992087147	2.102140948
8W-4	8W-LV-4	8	WKY	Ventricle	4.616580623	1.40772924	-4.125904865	-0.384797227	1.944820855	3.919636815	1.375159698	1.384899758	3.44967849	-10.57665666	-8.088624618	0.09623265	-0.531373193	0.20106107	-0.501365748	-0.593298845	-4.579043408	2.204321968	-1.481719008	5.74813576	-5.104950347	3.352125698
12S-1	12S-AD-1	12	SHR	Adrenal	-1.960779783	0.093363298	0.106163878	0.504327141	0.121663305	-2.404154963	0.691284533	1.847614143	-1.008676295	0.382421036	0.045568535	-0.821518445	-0.36787056	0.300498545	-2.156145118	-0.958351995	0.246023315	5.457867973	-2.546327745	-0.842318225	1.971326535	1.760253295
